cidade,long,lat,alt,uf
CALDEIRÃO GRANDE,-40.30737036,-11.02215578,465.189037,BAHIA
PINDOBAÇU,-40.35715919,-10.73420661,439.48137,BAHIA
PONTO NOVO,-40.13539285,-10.86714783,364.987304,BAHIA
FILADÉLFIA,-40.13782688,-10.73846411,421.89272,BAHIA
SOBRADINHO,-40.79159485,-9.470806638,374.748153,BAHIA
CAMPO FORMOSO,-40.31882099,-10.50566155,600.617183,BAHIA
ANTÔNIO GONÇALVES,-40.2756587,-10.57579779,500.564109,BAHIA
SENHOR DO BONFIM,-40.18998454,-10.45677149,536.106411,BAHIA
JAGUARARI,-40.19361147,-10.26285426,655.817355,BAHIA
JUAZEIRO,-40.50355216,-9.410717096,372.414967,BAHIA
ITAGI,-40.01362499,-14.16179372,238.428646,BAHIA
AIQUARA,-39.88577801,-14.12727749,155.101843,BAHIA
JITAÚNA,-39.88963218,-14.0174287,161.931358,BAHIA
JEQUIÉ,-40.08860733,-13.85566401,214.152918,BAHIA
IPIAÚ,-39.73565418,-14.13747367,144.802744,BAHIA
BARRA DO ROCHA,-39.60138609,-14.21002925,121.43988,BAHIA
UBATÃ,-39.52266779,-14.21146655,104.624375,BAHIA
IBIRATAIA,-39.64091889,-14.06726908,149.265693,BAHIA
APUAREMA,-39.74213212,-13.85322885,272.548636,BAHIA
ITAMARI,-39.67634835,-13.77483676,252.374748,BAHIA
NOVA IBIÁ,-39.62568605,-13.80990737,247.981033,BAHIA
JAGUAQUARA,-39.97025518,-13.53069863,673.779354,BAHIA
ITAQUARA,-39.93824359,-13.446409,568.418023,BAHIA
IRAJUBA,-40.0838518,-13.25661015,560.920667,BAHIA
SANTA INÊS,-39.82760533,-13.29868722,404.950269,BAHIA
CRAVOLÂNDIA,-39.81271175,-13.36262306,471.813724,BAHIA
UBAÍRA,-39.66203257,-13.26808948,336.147507,BAHIA
BREJÕES,-39.79349159,-13.10553648,589.388013,BAHIA
JIQUIRIÇÁ,-39.57650178,-13.25230635,328.113924,BAHIA
MUTUÍPE,-39.50416385,-13.22937332,228.328355,BAHIA
IBIRAPITANGA,-39.37446653,-14.1650325,98.345331,BAHIA
GANDU,-39.48632408,-13.74378079,158.656138,BAHIA
WENCESLAU GUIMARÃES,-39.4796708,-13.68858775,134.593603,BAHIA
PIRAÍ DO NORTE,-39.37452219,-13.76122504,142.516894,BAHIA
